,Date,Price
0,2023-04-01,16678.439453125
1,2023-04-02,16601.19140625
2,2023-04-03,16615.990234375
3,2023-04-04,16482.5625
4,2023-04-05,16470.7265625
5,2023-04-06,16391.41796875
6,2023-04-07,16303.1513671875
7,2023-04-08,16243.5146484375
8,2023-04-09,16137.1279296875
9,2023-04-10,16106.943359375
10,2023-04-11,16145.966796875
11,2023-04-12,16044.10546875
12,2023-04-13,15974.5791015625
13,2023-04-14,15805.09375
14,2023-04-15,15778.8740234375
15,2023-04-16,15623.732421875
16,2023-04-17,15532.046875
17,2023-04-18,15557.328125
18,2023-04-19,15567.154296875
19,2023-04-20,15570.0146484375
20,2023-04-21,15494.111328125
21,2023-04-22,15476.83984375
22,2023-04-23,15366.396484375
23,2023-04-24,15337.06640625
24,2023-04-25,15421.58203125
25,2023-04-26,15357.1591796875
26,2023-04-27,15355.7578125
27,2023-04-28,15357.27734375
28,2023-04-29,15336.2470703125
29,2023-04-30,15232.6181640625
30,2023-05-01,15197.849609375
31,2023-05-02,15189.54296875
32,2023-05-03,15161.8544921875
33,2023-05-04,15192.0849609375
34,2023-05-05,15169.5693359375
35,2023-05-06,15081.2451171875
36,2023-05-07,15125.0654296875
37,2023-05-08,15105.7734375
38,2023-05-09,15109.978515625
39,2023-05-10,15076.697265625
40,2023-05-11,14980.1533203125
41,2023-05-12,14879.3701171875
42,2023-05-13,14765.568359375
43,2023-05-14,14792.70703125
44,2023-05-15,14722.6728515625
45,2023-05-16,14538.8037109375
46,2023-05-17,14562.2412109375
47,2023-05-18,14545.833984375
48,2023-05-19,14563.94921875
49,2023-05-20,14512.162109375
50,2023-05-21,14459.1552734375
51,2023-05-22,14312.3427734375
52,2023-05-23,14299.962890625
53,2023-05-24,14222.685546875
54,2023-05-25,14288.8583984375
55,2023-05-26,14275.2021484375
56,2023-05-27,14195.9814453125
57,2023-05-28,14198.291015625
58,2023-05-29,14212.57421875
59,2023-05-30,14057.1884765625
60,2023-05-31,14011.7275390625
61,2023-06-01,13957.0
62,2023-06-02,13923.6826171875
63,2023-06-03,13958.64453125
64,2023-06-04,13966.4912109375
65,2023-06-05,13831.904296875
66,2023-06-06,13800.470703125
67,2023-06-07,13725.7392578125
68,2023-06-08,13724.845703125
69,2023-06-09,13695.1962890625
70,2023-06-10,13664.5703125
71,2023-06-11,13585.5146484375
72,2023-06-12,13533.7529296875
73,2023-06-13,13558.494140625
74,2023-06-14,13568.8515625
75,2023-06-15,13485.439453125
76,2023-06-16,13437.125
77,2023-06-17,13414.638671875
78,2023-06-18,13341.740234375
79,2023-06-19,13363.17578125
80,2023-06-20,13316.46484375
81,2023-06-21,13108.345703125
82,2023-06-22,13035.33984375
83,2023-06-23,12920.759765625
84,2023-06-24,12895.8896484375
85,2023-06-25,12809.9541015625
86,2023-06-26,12787.8271484375
87,2023-06-27,12845.3115234375
88,2023-06-28,12865.2802734375
