,Date,Price,Price_Future
0,2021-11-18,56921.05,58069.51
1,2021-11-19,58069.51,59716.29
2,2021-11-20,59716.29,58661.39
3,2021-11-21,58661.39,56268.31
4,2021-11-22,56268.31,57574.23
5,2021-11-23,57574.23,57165.08
6,2021-11-24,57165.08,58988.21
7,2021-11-25,58988.21,53755.65
8,2021-11-26,53755.65,54738.77
9,2021-11-27,54738.77,57315.73
10,2021-11-28,57315.73,57827.98
11,2021-11-29,57827.98,56975.0
12,2021-11-30,56975.0,57209.29
13,2021-12-01,57209.29,56513.57
14,2021-12-02,56513.57,53612.0
15,2021-12-03,53612.0,49135.66
16,2021-12-04,49135.66,49376.6
17,2021-12-05,49376.6,50424.72
18,2021-12-06,50424.72,50577.2
19,2021-12-07,50577.2,50455.61
20,2021-12-08,50455.61,47539.76
21,2021-12-09,47539.76,47136.35
22,2021-12-10,47136.35,49381.15
23,2021-12-11,49381.15,50057.01
24,2021-12-12,50057.01,46679.93
25,2021-12-13,46679.93,48324.04
26,2021-12-14,48324.04,48870.48
27,2021-12-15,48870.48,47624.5
28,2021-12-16,47624.5,46125.33
29,2021-12-17,46125.33,46815.99
30,2021-12-18,46815.99,46668.63
31,2021-12-19,46668.63,46898.14
32,2021-12-20,46898.14,48875.15
33,2021-12-21,48875.15,48569.69
34,2021-12-22,48569.69,50817.92
35,2021-12-23,50817.92,50808.55
36,2021-12-24,50808.55,50403.64
37,2021-12-25,50403.64,50765.73
38,2021-12-26,50765.73,50707.72
39,2021-12-27,50707.72,47522.03
40,2021-12-28,47522.03,46436.54
41,2021-12-29,46436.54,47095.02
42,2021-12-30,47095.02,46210.56
43,2021-12-31,46210.56,47704.35
44,2022-01-01,47704.35,47280.0
45,2022-01-02,47280.0,46445.81
46,2022-01-03,46445.81,45833.42
47,2022-01-04,45833.42,43421.69
48,2022-01-05,43421.69,43080.01
49,2022-01-06,43080.01,41553.86
50,2022-01-07,41553.86,41688.05
51,2022-01-08,41688.05,41851.22
52,2022-01-09,41851.22,41801.55
53,2022-01-10,41801.55,42700.68
54,2022-01-11,42700.68,43880.72
55,2022-01-12,43880.72,42534.32
56,2022-01-13,42534.32,43042.4
57,2022-01-14,43042.4,43070.51
58,2022-01-15,43070.51,43060.66
59,2022-01-16,43060.66,42176.34
60,2022-01-17,42176.34,42337.58
61,2022-01-18,42337.58,41657.89
62,2022-01-19,41657.89,40661.69
63,2022-01-20,40661.69,36425.98
64,2022-01-21,36425.98,35043.73
65,2022-01-22,35043.73,36230.01
66,2022-01-23,36230.01,36648.31
67,2022-01-24,36648.31,36934.26
68,2022-01-25,36934.26,36787.43
69,2022-01-26,36787.43,37131.0
70,2022-01-27,37131.0,37696.21
71,2022-01-28,37696.21,38150.01
72,2022-01-29,38150.01,37870.01
73,2022-01-30,37870.01,38439.04
74,2022-01-31,38439.04,38680.51
75,2022-02-01,38680.51,36892.03
76,2022-02-02,36892.03,37289.86
77,2022-02-03,37289.86,41550.0
78,2022-02-04,41550.0,41374.69
79,2022-02-05,41374.69,42361.35
80,2022-02-06,42361.35,43829.99
81,2022-02-07,43829.99,44021.57
82,2022-02-08,44021.57,44358.08
83,2022-02-09,44358.08,43471.29
84,2022-02-10,43471.29,42366.0
85,2022-02-11,42366.0,42199.87
86,2022-02-12,42199.87,42041.13
87,2022-02-13,42041.13,42525.14
88,2022-02-14,42525.14,44529.6
89,2022-02-15,44529.6,43860.7
90,2022-02-16,43860.7,40491.7
91,2022-02-17,40491.7,39966.8
92,2022-02-18,39966.8,40052.6
93,2022-02-19,40052.6,38368.1
94,2022-02-20,38368.1,36986.4
95,2022-02-21,36986.4,38212.0
96,2022-02-22,38212.0,37227.8
97,2022-02-23,37227.8,38315.1
98,2022-02-24,38315.1,39205.4
99,2022-02-25,39205.4,39099.3
100,2022-02-26,39099.3,37672.0
101,2022-02-27,37672.0,43155.0
102,2022-02-28,43155.0,44394.1
103,2022-03-01,44394.1,43885.7
104,2022-03-02,43885.7,42449.5
105,2022-03-03,42449.5,39127.7
106,2022-03-04,39127.7,39375.1
107,2022-03-05,39375.1,38401.1
108,2022-03-06,38401.1,37963.8
109,2022-03-07,37963.8,38709.9
110,2022-03-08,38709.9,41937.5
111,2022-03-09,41937.5,39407.2
112,2022-03-10,39407.2,38713.0
113,2022-03-11,38713.0,38792.6
114,2022-03-12,38792.6,37743.7
115,2022-03-13,37743.7,39653.8
116,2022-03-14,39653.8,39271.0
117,2022-03-15,39271.0,41105.8
118,2022-03-16,41105.8,40898.1
119,2022-03-17,40898.1,41751.5
120,2022-03-18,41751.5,42188.2
121,2022-03-19,42188.2,41261.0
122,2022-03-20,41261.0,40982.0
123,2022-03-21,40982.0,42349.8
124,2022-03-22,42349.8,42867.9
125,2022-03-23,42867.9,43973.4
126,2022-03-24,43973.4,44290.6
127,2022-03-25,44290.6,44489.2
128,2022-03-26,44489.2,46820.8
129,2022-03-27,46820.8,47121.9
130,2022-03-28,47121.9,47418.5
131,2022-03-29,47418.5,47053.2
132,2022-03-30,47053.2,45506.0
133,2022-03-31,45506.0,46266.2
134,2022-04-01,46266.2,45794.6
135,2022-04-02,45794.6,46392.4
136,2022-04-03,46392.4,46580.9
137,2022-04-04,46580.9,45477.4
138,2022-04-05,45477.4,43159.7
139,2022-04-06,43159.7,43417.1
140,2022-04-07,43417.1,42229.2
141,2022-04-08,42229.2,42727.7
142,2022-04-09,42727.7,42140.4
143,2022-04-10,42140.4,39505.6
