Actual,Predicted
16824.4,16828.9
16912.9,16824.4
16698.2,16912.9
16539.0,16698.2
16630.3,16539.0
16601.2,16630.3
16537.6,16601.2
16610.3,16537.6
16666.0,16610.3
16667.2,16666.0
16842.1,16667.2
16823.8,16842.1
16943.8,16823.8
16936.5,16943.8
17124.7,16936.5
17169.7,17124.7
17428.8,17169.7
17935.7,17428.8
18838.0,17935.7
19924.2,18838.0
20962.8,19924.2
20882.7,20962.8
21188.3,20882.7
21130.9,21188.3
20680.0,21130.9
21068.3,20680.0
22661.1,21068.3
22781.9,22661.1
22704.6,22781.9
22913.1,22704.6
22627.4,22913.1
23060.6,22627.4
23001.9,23060.6
23068.0,23001.9
23015.9,23068.0
23740.3,23015.9
22819.9,23740.3
23119.4,22819.9
23730.0,23119.4
23493.1,23730.0
23424.7,23493.1
23322.6,23424.7
22929.2,23322.6
22757.7,22929.2
23234.1,22757.7
22955.9,23234.1
21793.4,22955.9
21618.6,21793.4
21851.3,21618.6
21771.1,21851.3
21766.2,21771.1
22187.4,21766.2
24332.6,22187.4
23526.6,24332.6
24581.5,23526.6
24636.9,24581.5
24265.9,24636.9
24849.9,24265.9
24443.4,24849.9
24171.3,24443.4
23928.8,24171.3
23175.6,23928.8
23146.2,23175.6
23545.3,23146.2
23480.0,23545.3
23129.6,23480.0
23619.8,23129.6
23457.1,23619.8
22342.8,23457.1
22335.7,22342.8
22419.4,22335.7
22397.1,22419.4
22187.1,22397.1
21695.4,22187.1
20348.3,21695.4
20140.3,20348.3
20447.3,20140.3
21986.2,20447.3
24119.5,21986.2
24682.5,24119.5
24288.0,24682.5
24990.4,24288.0
27384.0,24990.4
26907.0,27384.0
27955.7,26907.0
27704.1,27955.7
28091.1,27704.1
27233.8,28091.1
28284.1,27233.8
27438.9,28284.1
27447.3,27438.9
27954.3,27447.3
27112.0,27954.3
27249.7,27112.0
28338.5,27249.7
28015.0,28338.5
28454.9,28015.0
28443.8,28454.9
28161.2,28443.8
27333.3,28161.2
27981.34375,27981.34375
27803.1640625,27803.1640625
27626.64453125,27626.64453125
27451.76953125,27451.76953125
27278.51953125,27278.51953125
27106.888671875,27106.888671875
26936.853515625,26936.853515625
26768.400390625,26768.400390625
26601.517578125,26601.517578125
26436.1875,26436.1875
26272.3984375,26272.3984375
26110.1328125,26110.1328125
25949.376953125,25949.376953125
25790.1171875,25790.1171875
25632.341796875,25632.341796875
25476.033203125,25476.033203125
25321.185546875,25321.185546875
25167.775390625,25167.775390625
25015.796875,25015.796875
24865.232421875,24865.232421875
24716.0703125,24716.0703125
24568.294921875,24568.294921875
24421.8984375,24421.8984375
24276.865234375,24276.865234375
24133.181640625,24133.181640625
23990.8359375,23990.8359375
23849.814453125,23849.814453125
23710.10546875,23710.10546875
23571.69921875,23571.69921875
23434.58203125,23434.58203125
23298.740234375,23298.740234375
23164.1640625,23164.1640625
23030.841796875,23030.841796875
22898.759765625,22898.759765625
22767.908203125,22767.908203125
22638.275390625,22638.275390625
22509.8515625,22509.8515625
22382.62109375,22382.62109375
22256.57421875,22256.57421875
22131.701171875,22131.701171875
22007.9921875,22007.9921875
21885.435546875,21885.435546875
21764.01953125,21764.01953125
21643.734375,21643.734375
21524.568359375,21524.568359375
21406.51171875,21406.51171875
21289.5546875,21289.5546875
21173.689453125,21173.689453125
21058.900390625,21058.900390625
20945.181640625,20945.181640625
20832.51953125,20832.51953125
20720.908203125,20720.908203125
20610.3359375,20610.3359375
20500.79296875,20500.79296875
20392.271484375,20392.271484375
20284.7578125,20284.7578125
20178.24609375,20178.24609375
20072.7265625,20072.7265625
19968.19140625,19968.19140625
19864.62890625,19864.62890625
19762.02734375,19762.02734375
19660.38671875,19660.38671875
19559.69140625,19559.69140625
19459.931640625,19459.931640625
19361.1015625,19361.1015625
19263.193359375,19263.193359375
19166.1953125,19166.1953125
19070.099609375,19070.099609375
18974.8984375,18974.8984375
18880.5859375,18880.5859375
18787.150390625,18787.150390625
